Jour,Susceptibles,Infectés,Rétablis,Décès
0,0.9988935424701451,0.00319670189361468,-0.002454650379593453,-0.004621651074395652
1,0.9915258564986142,0.00040948698555914095,0.01070153856071021,0.008856734886163524
2,0.9821642878504103,0.011017908027845262,0.004865189944596147,-0.0015153677090041064
3,0.9881321454304701,0.008968510618315797,-0.006308107833178728,0.0035709290990608676
4,0.9710896578262301,0.007307292428651309,0.005403042711673786,0.004894034386016158
5,0.9616349886906391,0.023929334042290706,0.007990649221431893,-0.004192331511042524
6,0.9525886463084916,0.03306441301465195,0.00827588883547066,-0.011207452242601272
7,0.9479545884733973,0.0372057184775582,0.018020837803400712,-0.009838422090813117
8,0.9479172375019003,0.03723260449613979,0.018866889628806425,-0.015330805532009965
9,0.9298889693887828,0.04695014781849568,0.009500400975431368,0.0043379912883337235
10,0.9176855461736863,0.05651559115083515,0.020315886331848818,0.005793384558812945
11,0.9079551971271789,0.067398047918689,0.026172662700484295,-0.006666791510023189
12,0.8920500137333122,0.07010064189998153,0.046053495983716976,0.001408592571614744
13,0.861931668283663,0.07358897336518244,0.04312855053093194,0.0029587727218099496
14,0.8408258518925558,0.10246497682814179,0.04610785938801311,-0.0021682216952122915
15,0.835534554090482,0.10279517979536308,0.05409238049991559,0.002651977056521389
16,0.7995867804959699,0.12180927056049591,0.0719987901563772,-0.0010904453315302006
17,0.7610542087444079,0.14502973452122944,0.08172142425011576,0.003137938337899053
18,0.7339316481357273,0.16791680700732273,0.09810663681099677,0.006995877564332712
19,0.7053215761848898,0.17650568638224062,0.1145003651807614,0.01642885831943759
20,0.6579971267605058,0.19295341693509405,0.131031914370197,0.017477273752353382
21,0.6259722697055128,0.21511002739430643,0.16411162712464988,0.008304897432077041
22,0.5932288073905555,0.21080963917994902,0.15824209843084328,0.015759095760155738
23,0.5393276888639057,0.24357442410081281,0.19117844140984425,0.022676964653104575
24,0.5133536196757706,0.26034658984265474,0.223212924480015,0.027041439659431628
25,0.4666093130082809,0.25938168799301464,0.24387406382648769,0.018647137781629783
26,0.44166009205961826,0.26632487505123287,0.26473224322637884,0.024152167318188058
27,0.3997028806968067,0.28239067075449614,0.2998671897310383,0.03225547247044863
28,0.3627239014688228,0.2719041965389645,0.318100648973497,0.026382157352659877
29,0.33930021657748605,0.2861602507456532,0.3510383541802432,0.02876008566568297
30,0.30860162274477343,0.2655811772110977,0.37611491100230515,0.05629436183540093
31,0.28574253369283054,0.27675628462077534,0.4046752599273229,0.050042890528782996
32,0.2574974422835966,0.25378025509810387,0.43829564884064004,0.04587454810529945
33,0.2385953006313425,0.2478555351695583,0.45498062881304624,0.0458570257006763
34,0.21064202518302322,0.26201120968002334,0.4905456397358343,0.04169653552145726
35,0.1998383470351594,0.2305137558303315,0.5098942602918504,0.05318641441587853
36,0.18827221284575754,0.22318250770254427,0.5246188299699976,0.047513614546292944
37,0.17750562800129757,0.21203982935676335,0.5638653789153619,0.06035441565252006
38,0.16434563727003865,0.1944802797522721,0.5742746218285576,0.053032884221496254
39,0.1498902668857971,0.18732737900557236,0.5875140495451358,0.056269715187360236
40,0.14376217547764594,0.17542673479426465,0.6244244033172569,0.0549457041957508
41,0.1332816143777439,0.16718096600229457,0.6365385584953026,0.05792217308807904
42,0.13657071441498222,0.15336239137280053,0.64203235107166,0.07438602738665052
43,0.12805517999834173,0.14288475932096992,0.659519036472072,0.06662760028095328
44,0.12127870276980965,0.1294474446999112,0.6826628712346358,0.07853376799457293
45,0.12122766213370108,0.12122773479535386,0.6949979675815358,0.06855216085007527
46,0.10271138281998214,0.10080344177012651,0.7026183489683425,0.0689961137844146
47,0.10193505775886821,0.10460929948497519,0.7110050028552368,0.0673729404138049
48,0.10581277601603786,0.08648872107368218,0.7225336522692336,0.08725215934072972
49,0.09888832973487921,0.08826600492164105,0.7397331526520893,0.0761548889135047
50,0.09526658804329376,0.07272978799163396,0.7514190883961194,0.06448489977282212
51,0.09953494464404306,0.07928251893099383,0.753678532996069,0.06541260939455007
52,0.08848878404296547,0.06824199915942755,0.7588870545563495,0.06570013264350037
53,0.09475010359837484,0.061369519820408794,0.7627826579587174,0.08353336779963218
54,0.09997377189774417,0.054353200669364485,0.7875773113021723,0.07653247211373305
55,0.08421400999201861,0.0581844530242891,0.7883923555159654,0.0780016152571567
56,0.09193859674001358,0.04594520933386815,0.7848106167844688,0.0837713258072115
57,0.081446040854478,0.045289745705610895,0.8009057811421013,0.0775084853302839
58,0.07851603871153393,0.032417169370937526,0.7922764795820448,0.083047233919782
59,0.08597965783885197,0.03645947185092107,0.7957587397543954,0.08027863951998689
60,0.07643208372623278,0.017979149239751482,0.8066773256237396,0.08548131726513843
61,0.08066708624329784,0.03552542167277066,0.8059462961363252,0.0764011647074113
62,0.07286227926310083,0.017055022191031985,0.8081681302756673,0.09047281838637819
63,0.0741835186019083,0.031074346788149777,0.8110251675334397,0.07886066157994476
64,0.06894624511467341,0.03162480988156778,0.8050798398320966,0.08300666153489927
65,0.08741451203523302,0.022376003327237142,0.8075220340070631,0.08130827535841792
66,0.08520782879135641,0.014806021849241402,0.8148241490007496,0.0835721515043452
67,0.0922318024488563,0.013701342389616837,0.8165555778266715,0.09611273298554335
68,0.08256242639964295,0.024834549594313783,0.8173391883322819,0.07755415501995151
69,0.08769736053457088,0.012422095887392428,0.8304016745338391,0.08539045780421635
70,0.07478350409120045,0.012064774709564137,0.8262330746978017,0.0871587039572072
71,0.07485389785043925,0.017596919120813556,0.8314030988450752,0.06549315042159276
72,0.08385569416105211,0.017709296341271562,0.8368478133447227,0.08687685309028559
73,0.07558482402338991,0.006796070877764843,0.8203768777159601,0.08375978325738727
74,0.07507051704792626,0.014894613241364613,0.8418694423477698,0.08867174787071826
75,0.07085053354989003,0.009263243200133553,0.8421705468574968,0.09015592104105917
76,0.08380521343603008,-0.00016290729849979514,0.8335730203306203,0.07932997891508924
77,0.0722640664924385,0.014180829118368297,0.8383119103326854,0.08691346390979797
78,0.06385429121542968,0.009167925281865955,0.8364941618747315,0.07657503170802783
79,0.06412199610913334,-0.005504365441156762,0.8335076949482659,0.07848177923955899
80,0.0726043354581933,0.015814487723398694,0.838240558543725,0.08012131680137814
81,0.07979353428175898,0.006547326837747935,0.8434047626190676,0.07295445584278598
82,0.07512928966967417,0.00362341730225433,0.8326039991500318,0.0906514106464651
83,0.07832710103077503,0.00014810221170954855,0.820941631479643,0.08092608885394732
84,0.06857509478868344,0.00840100013605376,0.8413123006601767,0.09552109207792225
85,0.07299759137251419,0.004650103518453537,0.8294139440800313,0.07924286584002084
86,0.07771437991026756,-0.005785945059525792,0.8469646653920084,0.08543043885037849
87,0.07359915988072319,0.010463538763687184,0.8445710267798577,0.08490206735389697
88,0.07421197012066079,0.004218514063106328,0.8365803543999611,0.07630905065396107
89,0.07046828787750643,-0.0032842464772075853,0.8444836432666107,0.09483064627556712
